Id,Style
0,American IPA
1,American Pale Ale
2,American Brown Ale
3,American IPA
4,Saison
5,American IPA
6,American IPA
7,American IPA
8,American IPA
9,American IPA
10,American IPA
11,American Amber Ale
12,American Brown Ale
13,American Stout
14,Imperial IPA
15,American IPA
16,American Pale Ale
17,American Amber Ale
18,American IPA
19,American Stout
20,American IPA
21,American Light Lager
22,Saison
23,American Light Lager
24,American Pale Ale
25,Saison
26,American IPA
27,American IPA
28,American Pale Ale
29,Witbier
30,American IPA
31,Blonde Ale
32,American Light Lager
33,American IPA
34,American IPA
35,Witbier
36,American Pale Ale
37,American Pale Ale
38,American Pale Ale
39,American IPA
40,American IPA
41,Blonde Ale
42,American Pale Ale
43,Saison
44,Irish Red Ale
45,Blonde Ale
46,American Stout
47,Witbier
48,Imperial IPA
49,American IPA
50,American Pale Ale
51,American Stout
52,American IPA
53,Imperial IPA
54,American Pale Ale
55,American IPA
56,Imperial IPA
57,American Pale Ale
58,American Pale Ale
59,American Light Lager
60,American IPA
61,American IPA
62,American IPA
63,American IPA
64,American IPA
65,American Amber Ale
66,American Light Lager
67,American Pale Ale
68,American IPA
69,American Pale Ale
70,American IPA
71,American IPA
72,Irish Red Ale
73,American Stout
74,American Pale Ale
75,American IPA
76,Saison
77,American Pale Ale
78,American IPA
79,Irish Red Ale
80,American IPA
81,American Pale Ale
82,American IPA
83,American Stout
84,American Pale Ale
85,Imperial IPA
86,American IPA
87,Blonde Ale
88,American Pale Ale
89,Imperial IPA
90,American Light Lager
91,American IPA
92,American IPA
93,American Amber Ale
94,American Pale Ale
95,American Amber Ale
96,American IPA
97,American Pale Ale
98,American Amber Ale
99,American IPA
100,American Amber Ale
101,Saison
102,Imperial IPA
103,Irish Red Ale
104,American IPA
105,American Stout
106,Saison
107,American IPA
108,American IPA
109,Saison
110,American Stout
111,American IPA
112,American IPA
113,American IPA
114,American Brown Ale
115,American IPA
116,Blonde Ale
117,American Light Lager
118,American Amber Ale
119,Imperial IPA
120,American IPA
121,American IPA
122,American Pale Ale
123,American IPA
124,American Stout
125,American Brown Ale
126,American IPA
127,American IPA
128,American IPA
129,Witbier
130,Imperial IPA
131,American IPA
132,Irish Red Ale
133,Imperial IPA
134,American IPA
135,American IPA
136,Irish Red Ale
137,American Amber Ale
138,American Light Lager
139,American IPA
140,Witbier
141,American IPA
142,Irish Red Ale
143,American Pale Ale
144,American IPA
145,American Amber Ale
146,American Brown Ale
147,American Amber Ale
148,American IPA
149,American Pale Ale
150,Saison
151,Saison
152,American IPA
153,Saison
154,American IPA
